name,website,phone,url,categories,distance,page_number,scrape_timestamp,address_street,address_city,address_region,address_postal_code
Rose And Sons,,647-748-3287,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Rose-And-Sons/8095850.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.4,1,2025-07-07T21:12:06.265635,176 Dupont St,Toronto,ON,M5R 2E6
Carens Rosedale,,647-352-8111,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Carens-Rosedale/100951614.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.3,1,2025-07-07T21:12:06.265635,1118 Yonge St,Toronto,ON,M4W 2L6
Soos,,416-901-7667,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Soos/100327754.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.2,1,2025-07-07T21:12:06.267638,94 Ossington Ave,Toronto,ON,M6J 2Z4
Mr. Greek,,647-348-4801,https://www.yellowpages.ca/bus/Ontario/Toronto/Mr-Greek/101427491.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.4,1,2025-07-07T21:12:06.267638,333 Bremner Blvd,Toronto,ON,M5V 3V3
BnB,,416-361-6363,https://www.yellowpages.ca/bus/Ontario/Toronto/BnB/100665222.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.3,1,2025-07-07T21:12:06.267638,123 Queen Street West,Toronto,ON,M5H 2M9
Jabistro,,647-748-0222,https://www.yellowpages.ca/bus/Ontario/Toronto/Jabistro/8088965.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.7,1,2025-07-07T21:12:06.267638,222 Richmond St W,Toronto,ON,M5V 1V6
Barrio Coreano,,416-901-5188,https://www.yellowpages.ca/bus/Ontario/Toronto/Barrio-Coreano/100393496.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.3,1,2025-07-07T21:12:06.267638,642 Bloor St W,Toronto,ON,M6G 1K9
Arisu,,416-533-8104,https://www.yellowpages.ca/bus/Ontario/Toronto/Arisu/7932512.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.1,1,2025-07-07T21:12:06.269641,584 Bloor St W,Toronto,ON,M6G 1K4
Budapest Restaurant,,647-347-5047,https://www.yellowpages.ca/bus/Ontario/Toronto/Budapest-Restaurant/100994534.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.9,1,2025-07-07T21:12:06.269641,2183 Danforth Ave,Toronto,ON,M4C 1K4
The Kennedy Public House,,416-769-3888,https://www.yellowpages.ca/bus/Ontario/Toronto/The-Kennedy-Public-House/7766885.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.7,1,2025-07-07T21:12:06.269641,2199 Bloor St W,Toronto,ON,M6S 1N2
The Burger Cellar,,647-345-0084,https://www.yellowpages.ca/bus/Ontario/North-York/The-Burger-Cellar/6835043.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,9.4,1,2025-07-07T21:12:06.271643,3391 Yonge St,North York,ON,M4N 2M8
Athens Restaurant,,416-465-4441,https://www.yellowpages.ca/bus/Ontario/Toronto/Athens-Restaurant/2101692.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.3,1,2025-07-07T21:12:06.271643,707 Danforth,Toronto,ON,M1K 1G4
Sip Wine Bar,https://order.tbdine.com/sipwinebar,647-748-7101,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Sip-Wine-Bar/100188866.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.8,1,2025-07-07T21:12:06.271643,2 Broadway Ave,Toronto,ON,M4P 1T4
Butchers Of Distinction,,416-466-9191,https://www.yellowpages.ca/bus/Ontario/Toronto/Butchers-Of-Distinction/8209983.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.7,1,2025-07-07T21:12:06.271643,738 Queen St E,Toronto,ON,M4M 1H2
Brownes Bistro,,416-924-8132,https://www.yellowpages.ca/bus/Ontario/Toronto/Brownes-Bistro/6409099.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.9,1,2025-07-07T21:12:06.271643,101-1251 Yonge St,Toronto,ON,M4T 1W6
The Peasant Table,,647-343-7022,https://www.yellowpages.ca/bus/Ontario/Toronto/The-Peasant-Table/101182975.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.8,1,2025-07-07T21:12:06.273646,"782, Queen St E",Toronto,ON,M4M 1H4
Farmhouse Tavern,,416-561-9114,https://www.yellowpages.ca/bus/Ontario/Toronto/Farmhouse-Tavern/100836986.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.3,1,2025-07-07T21:12:06.273646,1627 Dupont St,Toronto,ON,M6P 3S8
Junction Local,,416-766-3841,https://www.yellowpages.ca/bus/Ontario/Toronto/Junction-Local/101227259.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.7,1,2025-07-07T21:12:06.273646,3076 Dundas St W,Toronto,ON,M6P 1Z8
Oretta,,416-944-1932,https://www.yellowpages.ca/bus/Ontario/Toronto/Oretta/101466660.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.9,1,2025-07-07T21:12:06.273646,633 King St W,Toronto,ON,M5V 1M5
Cano Restaurant,,416-901-3655,https://www.yellowpages.ca/bus/Ontario/Toronto/Cano-Restaurant/101584225.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,5.8,1,2025-07-07T21:12:06.275649,1108A St Clair Ave W,Toronto,ON,M6E 1A7
Böehmer,,416-531-3800,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Boehmer/8038424.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.2,1,2025-07-07T21:12:06.275649,93 Ossington Ave,Toronto,ON,M6J 2Z2
Antler,,647-345-8300,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Antler/101060855.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.1,2,2025-07-07T21:12:22.975916,1454 Dundas St W,Toronto,ON,M6J 1Y6
Batifole Restaurant,,416-462-9965,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Batifole-Restaurant/2114391.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.2,2,2025-07-07T21:12:22.975916,744 Gerrard St E,Toronto,ON,M4M 1Y3
Factory Girl,https://order.tbdine.com/factorygirl,647-352-2799,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Factory-Girl/7168561.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.5,2,2025-07-07T21:12:22.975916,"193, Danforth Ave",Toronto,ON,M4K 1N2
Hapa Izakaya,,647-748-4272,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Hapa-Izakaya/8063900.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.8,2,2025-07-07T21:12:22.975916,602 College St,Toronto,ON,M6G 1B4
School Restaurant,,416-588-0005,https://www.yellowpages.ca/bus/r/Ontario/Toronto/School-Restaurant/100837271.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,2,2025-07-07T21:12:22.975916,70 Fraser Ave,Toronto,ON,M6K 3E1
Koyoi - Downtown,,647-351-5128,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Koyoi-Downtown/7164251.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.9,2,2025-07-07T21:12:22.975916,2 Irwin Ave,Toronto,ON,M4Y 1K9
Buono Ristorante,https://order.tbdine.com/verdi,416-440-0452,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Buono-Ristorante/2602360.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.2,2,2025-07-07T21:12:22.975916,1566 Bayview Ave,Toronto,ON,M4G 3B7
KOS Restaurant,,416-597-6912,https://www.yellowpages.ca/bus/r/Ontario/Toronto/KOS-Restaurant/7572608.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.0,2,2025-07-07T21:12:22.975916,61 Bellevue Ave,Toronto,ON,M5T 2N5
Lake Inez,,416-792-1590,https://www.yellowpages.ca/bus/Ontario/Toronto/Lake-Inez/101511894.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,5.4,2,2025-07-07T21:12:22.975916,1471 Gerrard St E,Toronto,ON,M4L 2A1
Mercatto Restaurant,,647-352-3390,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Mercatto-Restaurant/7127657.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.1,2,2025-07-07T21:12:22.975916,220 Yonge St,Toronto,ON,M5B 2H1
Scotland Yard,,416-364-6572,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Scotland-Yard/1414800.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.6,2,2025-07-07T21:12:22.975916,56 The Esplanade,Toronto,ON,M5E 1A7
Bistro Grande Restaurant,https://order.tbdine.com/bistrogrande,416-782-3302,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Bistro-Grande-Restaurant/2126265.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.9,2,2025-07-07T21:12:22.975916,1000 Eglinton Ave W,Toronto,ON,M6C 2C5
Sky Ranch Restaurant,,416-787-0491,https://www.yellowpages.ca/bus/Ontario/York/Sky-Ranch-Restaurant/1458861.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,8.1,2,2025-07-07T21:12:22.991734,2473 Dufferin St,York,ON,M6B 3P9
The Blake House,https://order.tbdine.com/theblakehouse,416-975-1867,https://www.yellowpages.ca/bus/r/Ontario/Toronto/The-Blake-House/6724767.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.6,2,2025-07-07T21:12:22.991734,449 Jarvis St,Toronto,ON,M4Y 2G8
Hurricanes Roadhouse,,416-531-7818,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Hurricanes-Roadhouse/798806.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.1,2,2025-07-07T21:12:22.991734,963 Bloor St W,Toronto,ON,M6H 1L7
La Forchetta Ristorante,,416-534-3100,https://www.yellowpages.ca/bus/r/Ontario/Toronto/La-Forchetta-Ristorante/916533.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.9,2,2025-07-07T21:12:22.991734,613 College St,Toronto,ON,M6G 1B5
Fat Pasha Inc,,647-340-6142,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Fat-Pasha-Inc/100456835.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.7,2,2025-07-07T21:12:22.991734,414 Dupont St,Toronto,ON,M5R 1V9
Greta Solomon's,,647-347-8640,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Greta-Solomon-s/101344298.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,2,2025-07-07T21:12:22.991734,1118 Queen St E,Toronto,ON,M4M 1K9
Krepesz,,416-840-8930,https://www.yellowpages.ca/bus/Ontario/Toronto/Krepesz/101053803.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.9,2,2025-07-07T21:12:22.991734,253 Augusta Ave,Toronto,ON,M5T 2L8
Archeo,,416-815-9898,https://www.yellowpages.ca/bus/Ontario/Toronto/Archeo/3262519.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.6,2,2025-07-07T21:12:22.991734,31 Trinity St,Toronto,ON,M5A 1G3
Kiin,,647-490-5040,https://www.yellowpages.ca/bus/Ontario/Toronto/Kiin/101669758.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.0,2,2025-07-07T21:12:22.991734,326 Adelaide St W,Toronto,ON,M5V 1R3
Superpoint,,416-519-6996,https://www.yellowpages.ca/bus/Ontario/Toronto/Superpoint/101430644.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.3,2,2025-07-07T21:12:22.991734,184A Ossington Ave Main,Toronto,ON,M6J 2Z7
Rodeo Brazilian Steakhouse Rodizio,,416-465-0969,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Rodeo-Brazilian-Steakhouse-Rodizio/2492279.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.4,2,2025-07-07T21:12:22.991734,95 Danforth Ave,Toronto,ON,M4K 1N2
Dominion Pub & Kitchen,,416-366-5555,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Dominion-Pub-Kitchen/101113472.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.8,2,2025-07-07T21:12:22.991734,500 Queen St E,Toronto,ON,M5A 1T7
Milagro Cantina on Mercer,,416-850-2855,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Milagro-Cantina-on-Mercer/5914563.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.9,2,2025-07-07T21:12:22.991734,5 Mercer St,Toronto,ON,M5V 1H2
D & Y Sushi,https://order.tbdine.com/d_and_y_sushi,647-350-2996,https://www.yellowpages.ca/bus/r/Ontario/Toronto/D-Y-Sushi/100796636.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.1,2,2025-07-07T21:12:22.991734,2861 Dundas St W,Toronto,ON,M6P 1Y9
One King West Hotel & Residence,,416-548-8100,https://www.yellowpages.ca/bus/r/Ontario/Toronto/One-King-West-Hotel-Residence/101400261.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.2,2,2025-07-07T21:12:22.991734,1 King Street West,Toronto,ON,M5H 1A1
Christina's On The Danforth,,416-463-4418,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Christina-s-On-The-Danforth/2180684.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.0,2,2025-07-07T21:12:22.991734,492 Danforth Ave,Toronto,ON,M4K 1P6
Georgy Porgy's - North York,https://order.tbdine.com/georgyporgys/georgyporgys,416-285-8980,https://www.yellowpages.ca/bus/r/Ontario/North-York/Georgy-Porgy-s-North-York/7627797.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,11.5,2,2025-07-07T21:12:22.991734,1448 Lawrence Ave E,North York,ON,M4A 2S8
The Goodman Pub & Kitchen,,647-341-2337,https://www.yellowpages.ca/bus/r/Ontario/Toronto/The-Goodman-Pub-Kitchen/101675290.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.2,2,2025-07-07T21:12:22.991734,140-207 Queens Quay W,Toronto,ON,M5J 1A7
Kamasutra Indian Restaurant & Wine Bar,https://order.tbdine.com/kamasutra/kamasutra,416-489-4899,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Kamasutra-Indian-Restaurant-Wine-Bar/2348533.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.0,2,2025-07-07T21:12:22.991734,1522 Bayview Ave,Toronto,ON,M4G 3B4
Against The Grain Urban Tavern - Harbourfront,,647-344-1562,https://www.yellowpages.ca/bus/r/Ontario/Toronto/Against-The-Grain-Urban-Tavern-Harbourfront/7242937.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.3,2,2025-07-07T21:12:22.991734,25 Dockside Dr,Toronto,ON,M5A 0B5
Bar Mercurio,,416-960-3877,https://www.yellowpages.ca/bus/Ontario/Toronto/Bar-Mercurio/154710.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.6,2,2025-07-07T21:12:22.991734,270 Bloor St W,Toronto,ON,M5S 1V8
Jerusalem Restaurant,,416-783-6494,https://www.yellowpages.ca/bus/Ontario/York/Jerusalem-Restaurant/855984.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.8,2,2025-07-07T21:12:22.991734,955 Eglinton Ave W,York,ON,M6C 2C4
Valens Restaurant,,416-340-0303,https://www.yellowpages.ca/bus/Ontario/Toronto/Valens-Restaurant/7054796.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.3,2,2025-07-07T21:12:22.991734,19 Baldwin St,Toronto,ON,M5T 1L1
Eastside Social,,416-461-5663,https://www.yellowpages.ca/bus/Ontario/Toronto/Eastside-Social/1646789.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.5,3,2025-07-07T21:12:37.072644,1008 Queen St E,Toronto,ON,M4M 1K1
Coppi Ristorante,,416-484-4464,https://www.yellowpages.ca/bus/Ontario/Toronto/Coppi-Ristorante/432765.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,9.3,3,2025-07-07T21:12:37.072644,3363 Yonge St,Toronto,ON,M4N 2M6
Museum Tavern,,416-920-0110,https://www.yellowpages.ca/bus/Ontario/Toronto/Museum-Tavern/7109047.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.4,3,2025-07-07T21:12:37.072644,201-208 Bloor St W,Toronto,ON,M5S 3B4
Ascari Enoteca,,416-792-4157,https://www.yellowpages.ca/bus/Ontario/Toronto/Ascari-Enoteca/7814494.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,3,2025-07-07T21:12:37.072644,1111 Queen St E,Toronto,ON,M4M 1K7
Raj Palace,,647-351-6112,https://www.yellowpages.ca/bus/Ontario/Toronto/Raj-Palace/7209745.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.7,3,2025-07-07T21:12:37.072644,2214 Queen St E,Toronto,ON,M4E 1E9
Darna Grill,,416-288-0123,https://www.yellowpages.ca/bus/Ontario/North-York/Darna-Grill/100855355.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,10.1,3,2025-07-07T21:12:37.072644,1871 O'Connor Dr,North York,ON,M4A 1X1
Holy Chicken,,416-469-4659,https://www.yellowpages.ca/bus/Ontario/Toronto/Holy-Chicken/101379268.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.9,3,2025-07-07T21:12:37.072644,1028 Danforth Ave,Toronto,ON,M4J 1M2
AAA Public House,,416-901-8711,https://www.yellowpages.ca/bus/Ontario/Toronto/AAA-Public-House/100538564.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.8,3,2025-07-07T21:12:37.072644,598 Gerrard St E,Toronto,ON,M4M 1Y3
Nuit Social,,647-350-6848,https://www.yellowpages.ca/bus/Ontario/Toronto/Nuit-Social/100852035.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,3,2025-07-07T21:12:37.072644,1168 Queen St W,Toronto,ON,M6J 1J5
Anestis Taverna,,416-461-1996,https://www.yellowpages.ca/bus/Ontario/Toronto/Anestis-Taverna/101368390.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.0,3,2025-07-07T21:12:37.072644,526 Danforth Ave,Toronto,ON,M4K 1P8
Donlands Diner,,416-421-8500,https://www.yellowpages.ca/bus/Ontario/East-York/Donlands-Diner/101446992.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,5.7,3,2025-07-07T21:12:37.072644,417 Donlands Ave,East York,ON,M4J 3S2
Ristorante Boccaccio,,416-789-5555,https://www.yellowpages.ca/bus/Ontario/North-York/Ristorante-Boccaccio/100830032.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,9.4,3,2025-07-07T21:12:37.088421,901 Lawrence Ave W,North York,ON,M6A 1C3
Bar Isabel,,416-532-2222,https://www.yellowpages.ca/bus/Ontario/Toronto/Bar-Isabel/8194400.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.4,3,2025-07-07T21:12:37.088421,797 College St,Toronto,ON,M6G 1C7
Stack,,647-346-1416,https://www.yellowpages.ca/bus/Ontario/Toronto/Stack/7935250.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,9.0,3,2025-07-07T21:12:37.088421,"3265 Yonge St, Main",Toronto,ON,M4N 2L5
Folly Brewpub,,416-533-7272,https://www.yellowpages.ca/bus/Ontario/Toronto/Folly-Brewpub/7720752.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.8,3,2025-07-07T21:12:37.088421,928 College,Toronto,ON,M6H 1A4
Kathmandu - Yorkville,,416-924-5787,https://www.yellowpages.ca/bus/Ontario/Toronto/Kathmandu-Yorkville/100871503.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.4,3,2025-07-07T21:12:37.090426,12 Cumberland St,Toronto,ON,M4W 1J5
Mother India,,416-588-4634,https://www.yellowpages.ca/bus/Ontario/Toronto/Mother-India/1089786.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.7,3,2025-07-07T21:12:37.090426,1456 Queen St W,Toronto,ON,M6K 1M2
Doppio Zero,,416-488-0088,https://www.yellowpages.ca/bus/Ontario/Toronto/Doppio-Zero/8041254.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,6.5,3,2025-07-07T21:12:37.090426,530 Eglinton Av W,Toronto,ON,M5N 2K5
Indian Grill,,647-347-6600,https://www.yellowpages.ca/bus/Ontario/Toronto/Indian-Grill/100964396.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.3,3,2025-07-07T21:12:37.090426,"A, 108 Ossington Ave",Toronto,ON,M6J 2Z4
Sushi Inn,,416-923-9992,https://www.yellowpages.ca/bus/Ontario/Toronto/Sushi-Inn/2564069.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,2.4,3,2025-07-07T21:12:37.092871,120 Cumberland St,Toronto,ON,M5R 1A6
Hawker Bar,,647-343-4698,https://www.yellowpages.ca/bus/Ontario/Toronto/Hawker-Bar/7890829.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.3,3,2025-07-07T21:12:37.092871,164 Ossington Ave,Toronto,ON,M6J 2Z7
Rollian Sushi,,416-489-4303,https://www.yellowpages.ca/bus/Ontario/Toronto/Rollian-Sushi/8069011.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,7.3,3,2025-07-07T21:12:37.092871,2584 Yonge St,Toronto,ON,M4P 2J3
Barnsteiner's,,416-515-0551,https://www.yellowpages.ca/bus/Ontario/Toronto/Barnsteiner-s/7092887.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.1,3,2025-07-07T21:12:37.092871,1 Balmoral Ave,Toronto,ON,M4V 3B9
Town Wings,,416-516-7887,https://www.yellowpages.ca/bus/Ontario/Toronto/Town-Wings/2149090.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,4.9,3,2025-07-07T21:12:37.092871,258 Lansdowne Ave,Toronto,ON,M6H 3X9
Tapas At Embrujo,,647-705-7880,https://www.yellowpages.ca/bus/Ontario/Toronto/Tapas-At-Embrujo/100291620.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,3.4,3,2025-07-07T21:12:37.092871,97 Danforth Ave,Toronto,ON,M4K 1N2
El Catrin Destileria,,416-203-2121,https://www.yellowpages.ca/bus/Ontario/Toronto/El-Catrin-Destileria/212577.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.6,3,2025-07-07T21:12:37.092871,18 Tank House Lane,Toronto,ON,M5A 3C4
Peter Pan Bistro,,416-792-3838,https://www.yellowpages.ca/bus/Ontario/Toronto/Peter-Pan-Bistro/100745576.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.1,3,2025-07-07T21:12:37.092871,373 Queen St W,Toronto,ON,M5V 2A4
Cibo Wine Bar,,416-504-3939,https://www.yellowpages.ca/bus/Ontario/Toronto/Cibo-Wine-Bar/8233414.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,1.5,3,2025-07-07T21:12:37.092871,522 King St W,Toronto,ON,M5V 1L7
Real Mo Mos,,647-343-8801,https://www.yellowpages.ca/bus/Ontario/Toronto/Real-Mo-Mos/101180456.html?what=Restaurants&where=Toronto+ON&useContext=true,Restaurants,0.4,3,2025-07-07T21:12:37.092871,51 Colborne St,Toronto,ON,M5E 1E3
